The Prologe of the Cokes Tale	The Prologue of the Cook's Tale
4401	Al were he snybbed bothe erly and late,	Although he was rebuked both early and late,
4402	And somtyme lad with revel to Newegate.	And sometimes taken (as a prisoner) with music to Newgate prison.
4403	But atte laste his maister hym bithoghte,	But at the last his master remembered,
4404	Upon a day, whan he his papir soghte,	Upon a day, when Perkin sought his certificate of release,
4405	Of a proverbe that seith this same word:	A proverb that says this same word:
4406	"Wel bet is roten appul out of hoord	"Well better is a rotten apple out of the store
4407	Than that it rotie al the remenaunt."	Than that it rot al the remnant."
4408	So fareth it by a riotous servaunt;	So fares it with a debauched servant;
4409	It is ful lasse harm to lete hym pace,	It is much less harm to let him go away,
4410	Than he shende alle the servantz in the place.	Than that he should ruin all the servants in the place.
4411	Therfore his maister yaf hym acquitance,	Therefore his master gave him his certificate,
4412	And bad hym go, with sorwe and with meschance!	And ordered him to go, with sorrow and with bad luck!
4413	And thus this joly prentys hadde his leve.	And thus this jolly apprentice had his leave.
4414	Now lat hym riote al the nyght or leve.	Now let him revel all the night or leave off (do as he chooses).
4415	And for ther is no theef withoute a lowke,	And because there is no thief without an accomplice,
4416	That helpeth hym to wasten and to sowke	Who helps him to waste and to consume
4417	Of that he brybe kan or borwe may,	That which he can steal or may borrow,
4418	Anon he sente his bed and his array	Right away he sent his bed and his clothing
4419	Unto a compeer of his owene sort,	Unto a companion of his own sort,
4420	That lovede dys, and revel, and disport,	Who loved dicing, and revelling, and having fun,
4421	And hadde a wyf that heeld for contenance	And had a wife that kept for the sake of appearances
4422	A shoppe, and swyved for hir sustenance.	A shop, and screwed for her living.
